Destination_Code,Residents
110623016,436
110623017,492
110623018,311
110623019,460
110623020,469
110623021,387
110623022,390
110623023,416
110623024,336
110623025,452
110623026,486
110623027,395
110623028,411
110623029,546
110623030,473
110623031,124
110623032,200
110623033,262
110623034,289
110623035,272
110623036,416
110624001,352
110624002,460
110624003,367
110624004,550
110624005,339
110624006,511
110624007,447
110624008,455
110624009,441
110624010,240
110624011,324
110625001,579
110625002,378
110625003,429
110625004,534
110625005,283
110625006,592
110625007,490
110625008,430
110625009,374
110625010,366
110625011,426
110625012,700
110625013,489
110625014,409
110625015,548
110625016,462
110625017,382
110625018,679
110625019,444
110625020,666
110625021,455
110625022,393
110625023,590
110625024,457
110625025,449
110625026,776
110626001,330
110626002,497
110626003,422
110626004,548
110626005,469
110626006,1093
110626007,646
110626008,466
110626009,487
110626010,359
110626011,364
110626012,384
110626013,283
110626014,321
110626015,462
110626016,512
110626017,453
110627001,344
110627002,398
110628001,367
110628002,401
110628003,362
110628004,448
110628005,368
110628006,575
110628007,372
110628008,437
110628009,386
110629001,352
110629002,446
110629003,673
110629004,384
110629005,540
110629006,284
110629007,405
110629008,397
110629009,399
110629010,428
110629011,516
110629012,425
110630001,183
110630002,438
110630003,437
110630004,636
110630005,387
110630006,450
110630007,327
110630008,335
110630009,462
110630010,335
110630011,601
110630012,781
110630013,435
110630014,474
110630015,594
110631001,320
110631002,418
110631003,153
110632001,541
110632002,481
110632003,461
110632004,471
110632005,417
110632006,721
110632007,463
110632008,432
110632009,399
110632010,375
110632011,802
110632012,431
110632013,538
110632014,552
110632015,447
110632016,513
110632017,497
110633001,587
110633002,624
110633003,521
110633004,619
110633005,1110
110633006,1438
110633007,603
110633008,546
110633009,962
110633010,500
110633011,520
110633012,393
110633013,603
110633014,566
110633015,803
110633016,863
110633017,442
110633018,619
110633019,890
110633020,556
110633021,1036
110633022,532
110633023,583
110633024,446
110633025,112
110633026,400
110633027,192
110633028,579
110633029,647
110633030,899
110633031,953
110633032,582
110633033,448
110633034,583
110633035,691
